day_of_year,date,year,month,day,min_temp,max_temp,avg_temp,rain,snow,at_obs,total_rides,female_rides,male_rides,subscriber_rides,customer_rides,total_seconds,female_seconds,male_seconds,subscriber_seconds,customer_seconds,miles,female_miles,male_miles,subscriber_miles,customer_miles
1,20140101,2014,01,01,22,10,16.0,0.25,2.1,3,123,19,80,99,24,100383,12819,56928,69747,30636,115.16,13.05,76.63,89.68,25.48
2,20140102,2014,01,02,21,-1,10.0,0.22,5.8,6,112,13,99,112,0,77666,10304,67362,77666,0,115.69,13.25,102.44,115.69,0.0
3,20140103,2014,01,03,20,-12,4.0,0.00,0.0,8,6,1,5,6,0,3503,253,3250,3503,0,4.77,0.54,4.23,4.77,0.0
4,20140104,2014,01,04,31,19,25.0,0.26,3.0,7,205,35,151,186,19,218010,25953,175406,201359,16651,195.47,37.02,137.67,174.69,20.78
5,20140105,2014,01,05,29,-3,13.0,0.59,8.7,9,33,5,27,32,1,25476,3713,19875,23588,1888,28.32,1.82,24.48,26.3,2.02
6,20140106,2014,01,06,-2,-16,-9.0,0.00,0.0,11,1,0,1,1,0,393,0,393,393,0,0.35,0.0,0.35,0.35,0.0
7,20140107,2014,01,07,3,-12,-4.5,0.00,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,20140108,2014,01,08,17,-6,5.5,0.00,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,20140109,2014,01,09,27,-4,11.5,0.01,0.3,9,860,94,746,840,20,597978,91373,483454,574827,23151,916.83,119.97,768.04,888.01,28.82
10,20140110,2014,01,10,40,27,33.5,0.80,0,9,823,88,705,793,30,545435,65239,453206,518445,26990,797.17,104.58,665.13,769.71,27.46
11,20140111,2014,01,11,40,31,35.5,0.06,0.0,2,829,145,618,763,66,600342,94669,421830,516499,83843,883.39,162.25,648.49,810.74,72.65
12,20140112,2014,01,12,44,28,36.0,0.00,0.0,1,996,203,664,867,129,868934,221130,425615,646745,222189,1062.86,219.88,698.78,918.66,144.2
13,20140113,2014,01,13,45,27,36.0,0.00,0.0,0,2645,386,2116,2502,143,1705945,262273,1258101,1520374,185571,2813.9,439.71,2226.21,2665.92,147.98
