day_of_year,day_of_week,date,year,month,day,min_temp,max_temp,avg_temp,rain,snow,at_obs,rides_total,female_rides,male_rides,subscriber_rides,customer_rides,total_seconds,female_seconds,male_seconds,subscriber_seconds,customer_seconds
168,Tue,20140617,2014,06,17,91,77,84.0,0.0,0.0,0,11592,2156,6276,8432,3160,11401438,1878780,4289495,6168275,5233163
188,Mon,20140707,2014,07,07,88,71,79.5,0.63,0.0,0,12427,2228,6069,8297,4130,13288904,1999126,4273483,6272609,7016295
203,Tue,20140722,2014,07,22,90,69,79.5,0.01,0.0,0,12467,2398,6697,9095,3372,12223296,2032378,4776646,6809024,5414272
237,Mon,20140825,2014,08,25,88,71,79.5,0.01,0.0,0,9829,1836,5571,7394,2435,8930963,1466762,3657751,5107429,3823534
179,Sat,20140628,2014,06,28,87,71,79.0,0.0,0.0,0,14537,1942,3990,5932,8605,19947865,1783976,3183955,4967931,14979934
234,Fri,20140822,2014,08,22,86,72,79.0,1.58,0.0,0,11924,2025,5965,7991,3933,11643364,1724297,3993592,5719103,5924261
236,Sun,20140824,2014,08,24,88,70,79.0,0.0,0.0,0,13550,1994,3888,5872,7678,17973284,1765762,3064054,4811613,13161671
175,Tue,20140624,2014,06,24,87,70,78.5,0.41,0.0,0,10322,1841,5612,7453,2869,10205741,1539940,3999204,5539144,4666597
241,Fri,20140829,2014,08,29,86,71,78.5,0.08,0.0,0,11930,2007,6211,8218,3712,11760036,1670912,4211633,5882545,5877491
238,Tue,20140826,2014,08,26,85,71,78.0,0.12,0.0,0,11699,2329,6768,9090,2609,10221854,1829798,4447806,6271189,3950665
247,Thu,20140904,2014,09,04,85,71,78.0,0.26,0.0,0,9802,1928,6176,8105,1697,8281502,1530564,4097533,5628949,2652553
167,Mon,20140616,2014,06,16,88,67,77.5,0.0,0.0,0,12935,2287,6348,8635,4300,14033141,2004850,4531558,6536408,7496733
231,Tue,20140819,2014,08,19,86,69,77.5,0.09,0.0,0,10299,1950,6106,8055,2244,9183965,1546393,4041796,5586117,3597848
180,Sun,20140629,2014,06,29,85,69,77.0,0.07,0.0,0,14777,1963,4039,6002,8775,21063132,1929425,3513455,5442880,15620252
181,Mon,20140630,2014,06,30,87,67,77.0,2.6,0.0,0,9426,1557,4913,6470,2956,9246830,1238527,3293118,4531645,4715185
216,Mon,20140804,2014,08,04,87,67,77.0,2.76,0.0,0,11492,2031,5861,7892,3600,11590555,1743195,4077922,5821117,5769438
235,Sat,20140823,2014,08,23,86,68,77.0,0.34,0.0,0,9948,1553,3185,4735,5213,12423798,1400217,2256008,3651452,8772346
152,Sun,20140601,2014,06,01,90,63,76.5,0.0,0.0,0,13519,1609,3791,5400,8119,19075242,1432176,3030673,4462849,14612393
194,Sun,20140713,2014,07,13,85,68,76.5,0.01,0.0,0,13795,2163,4279,6442,7353,18360781,1952560,3470945,5423505,12937276
242,Sat,20140830,2014,08,30,83,70,76.5,0.27,0.0,0,12320,1556,3336,4892,7428,15990531,1267687,2462414,3730101,12260430
243,Sun,20140831,2014,08,31,85,68,76.5,0.0,0.0,0,15768,1553,3239,4792,10976,23791281,1482277,2558315,4040592,19750689
244,Mon,20140901,2014,09,01,83,70,76.5,0.36,0.0,0,11358,1413,3045,4458,6900,14514244,1197748,2238922,3436670,11077574
207,Sat,20140726,2014,07,26,84,68,76.0,0.0,0.0,0,14823,2141,4281,6422,8401,20643842,2081236,3445552,5526788,15117054
208,Sun,20140727,2014,07,27,87,65,76.0,0.02,0.0,0,13880,1935,4029,5964,7916,18933841,1734774,3316439,5051213,13882628
232,Wed,20140820,2014,08,20,86,66,76.0,0.0,0.0,0,13399,2585,6883,9470,3929,13571685,2075518,4946431,7023020,6548665
248,Fri,20140905,2014,09,05,88,64,76.0,0.5,0.0,0,8805,1565,5270,6837,1968,7766654,1247863,3333120,4581668,3184986
153,Mon,20140602,2014,06,02,83,68,75.5,0.14,0.0,0,9691,1803,5305,7108,2583,9806367,1523935,3859952,5383887,4422480
187,Sun,20140706,2014,07,06,87,63,75.0,0.0,0.0,0,12603,1594,3176,4770,7833,17393047,1434473,2419460,3853933,13539114
193,Sat,20140712,2014,07,12,80,70,75.0,0.47,0.0,0,7904,1072,2754,3827,4077,9591690,965349,2132200,3098019,6493671
222,Sun,20140810,2014,08,10,81,69,75.0,0.0,0.0,0,14206,1965,3812,5778,8428,19246243,1830065,2943523,4774674,14471569
141,Wed,20140521,2014,05,21,86,63,74.5,0.01,0.0,0,11208,1897,6042,7940,3268,11652884,1706507,4494063,6201003,5451881
202,Mon,20140721,2014,07,21,86,63,74.5,0.0,0.0,0,13439,2524,6871,9395,4044,14185335,2117489,4839207,6956696,7228639
215,Sun,20140803,2014,08,03,87,62,74.5,0.0,0.0,0,11007,1516,3128,4644,6363,14362266,1382599,2322675,3705274,10656992
223,Mon,20140811,2014,08,11,82,67,74.5,0.85,0.0,0,11015,1800,5423,7224,3791,11298380,1484826,3653394,5138607,6159773
233,Thu,20140821,2014,08,21,79,70,74.5,0.98,0.0,0,6081,988,3559,4547,1534,5268941,748155,2323620,3071775,2197166
239,Wed,20140827,2014,08,27,82,67,74.5,0.0,0.0,0,12458,2487,7088,9573,2885,11073963,2023645,4853828,6872553,4201410
