week_of_year,date,year,month,day,max_temp,min_temp,avg_temp,rain,snow,at_obs,rides_total,female_rides,male_rides,subscriber_rides,customer_rides,total_seconds,female_seconds,male_seconds,subscriber_seconds,customer_seconds
1,20140107,2014,01,07,31,19,7.79,1.32,19.6,10,480,73,363,436,44,425431,53042,323214,376256,49175
2,20140114,2014,01,14,45,31,26.64,0.88,0.3,0,8302,1234,6620,7854,448,5723278,976880,4138498,5115378,607900
3,20140121,2014,01,21,37,19,18.43,0.42,9.8,6,7938,1094,6490,7584,354,5411951,860149,4031320,4891469,520482
4,20140128,2014,01,28,33,7,7.86,0.19,3.4,3,4363,496,3754,4250,113,2630755,307250,2191226,2498476,132279
5,20140204,2014,02,04,33,20,17.07,0.52,5.7,6,7056,861,5991,6852,204,4704885,686421,3751670,4438091,266794
6,20140211,2014,02,11,25,9,8.0,0.42,8.2,12,4574,432,4063,4495,79,3511452,535722,2876842,3412564,98888
7,20140218,2014,02,18,46,23,20.07,0.39,5.8,14,7140,965,5844,6809,331,5242121,742423,3951935,4694358,547763
8,20140225,2014,02,25,49,34,27.43,1.16,0.4,2,9587,1384,7628,9012,575,6638661,1132569,4793846,5926415,712246
9,20140304,2014,03,04,31,12,13.36,0.38,5.2,5,7126,897,5955,6853,273,4664077,621613,3515010,4137918,526159
10,20140311,2014,03,11,53,40,32.0,0.31,2.4,0,14158,2204,10272,12476,1682,10992478,1821325,6527306,8348631,2643847
11,20140318,2014,03,18,53,37,31.43,0.48,3.4,0,15146,2303,10614,12919,2227,12767919,1890077,6902084,8793713,3974206
12,20140325,2014,03,25,58,34,33.57,0.28,1.3,1,17145,2525,11933,14459,2686,14350312,2013349,7602966,9616953,4733359
13,20140401,2014,04,01,68,41,41.5,0.26,0.0,0,23212,3305,14396,17703,5509,21622614,2671822,9521063,12196479,9426135
14,20140408,2014,04,08,60,40,42.79,0.55,0.0,0,25934,3903,15741,19648,6286,24251480,3346899,10335865,13686010,10565470
15,20140415,2014,04,15,80,44,50.07,0.73,1.4,1,39612,5484,19360,24852,14760,44634066,4963958,13187641,18157868,26476198
16,20140422,2014,04,22,79,58,51.5,0.0,0.0,0,46237,5942,21471,27420,18817,51913400,5187331,14552463,19745053,32168347
17,20140429,2014,04,29,70,47,50.5,1.55,0.0,0,37756,5703,21593,27296,10460,35787301,4693221,14052489,18745710,17041591
18,20140506,2014,05,06,67,46,50.21,0.15,0.0,0,40706,6119,22909,29028,11678,39751313,4935285,14820402,19755687,19995626
